                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.71503,                0.50762,                0.93197,                0.98147,                0.96424,                0.98741,                0.83514,                    nan,                    nan,                    nan,              0.0010729,              0.0010729,              0.0010729
                     39,                0.69409,                0.50029,                 0.9307,                0.98713,                0.96762,                0.98942,                 0.8344,                    nan,                    nan,                    nan,              0.0010564,              0.0010564,              0.0010564
                     40,                0.70887,                 0.4984,                0.94054,                 0.9826,                0.95496,                0.98222,                0.82211,                    nan,                    nan,                    nan,              0.0010399,              0.0010399,              0.0010399
                     41,                0.69871,                0.48017,                0.92045,                  0.977,                0.96041,                0.97583,                0.83138,                    nan,                    nan,                    nan,              0.0010234,              0.0010234,              0.0010234
                     42,                0.70567,                0.48333,                0.94509,                0.98092,                 0.9284,                 0.9715,                0.81589,                    nan,                    nan,                    nan,              0.0010069,              0.0010069,              0.0010069
                     43,                0.72268,                0.48258,                0.93241,                0.99102,                0.95116,                0.98497,                0.84893,                    nan,                    nan,                    nan,             0.00099036,             0.00099036,             0.00099036
                     44,                0.70789,                0.48722,                0.94072,                0.98886,                0.96115,                0.97956,                0.82986,                    nan,                    nan,                    nan,             0.00097386,             0.00097386,             0.00097386
                     45,                0.69094,                0.46842,                0.93531,                0.99132,                0.95691,                0.97852,                0.84191,                    nan,                    nan,                    nan,             0.00095736,             0.00095736,             0.00095736
                     46,                0.68916,                0.47465,                0.92171,                0.99353,                0.94485,                0.98498,                0.83391,                    nan,                    nan,                    nan,             0.00094085,             0.00094085,             0.00094085
                     47,                0.67848,                0.47286,                 0.9265,                0.99304,                0.95489,                 0.9904,                0.84525,                    nan,                    nan,                    nan,             0.00092435,             0.00092435,             0.00092435
                     48,                0.70272,                0.46679,                0.93274,                 0.9888,                0.96294,                0.98864,                0.84395,                    nan,                    nan,                    nan,             0.00090785,             0.00090785,             0.00090785
                     49,                0.68819,                0.46948,                0.92608,                 0.9922,                0.95744,                0.98958,                0.84829,                    nan,                    nan,                    nan,             0.00089134,             0.00089134,             0.00089134
                     50,                0.66899,                0.45813,                0.91442,                0.98581,                0.95242,                0.98654,                0.84731,                    nan,                    nan,                    nan,             0.00087484,             0.00087484,             0.00087484
                     51,                0.68059,                 0.4607,                0.91876,                0.98651,                0.95105,                 0.9812,                0.84145,                    nan,                    nan,                    nan,             0.00085834,             0.00085834,             0.00085834
                     52,                0.66995,                 0.4571,                0.93156,                0.99263,                0.96197,                0.98345,                0.85033,                    nan,                    nan,                    nan,             0.00084184,             0.00084184,             0.00084184
                     53,                0.65002,                0.44291,                0.91783,                0.99404,                0.95772,                0.97995,                0.84933,                    nan,                    nan,                    nan,             0.00082533,             0.00082533,             0.00082533
                     54,                0.64744,                0.43346,                0.91426,                0.99532,                0.95535,                0.97639,                0.84047,                    nan,                    nan,                    nan,             0.00080883,             0.00080883,             0.00080883
                     55,                0.65118,                0.42577,                0.92302,                0.98978,                0.96527,                0.97993,                0.85179,                    nan,                    nan,                    nan,             0.00079233,             0.00079233,             0.00079233
                     56,                0.65099,                0.44225,                0.91601,                0.99411,                0.95965,                0.98067,                0.84832,                    nan,                    nan,                    nan,             0.00077582,             0.00077582,             0.00077582
                     57,                0.65947,                0.42487,                0.91254,                0.99269,                0.96626,                0.98454,                0.86088,                    nan,                    nan,                    nan,             0.00075932,             0.00075932,             0.00075932
                     58,                0.66094,                0.43807,                 0.9167,                0.99086,                0.96328,                0.98369,                0.85903,                    nan,                    nan,                    nan,             0.00074282,             0.00074282,             0.00074282
                     59,                 0.6305,                0.42825,                0.90123,                0.98933,                0.96784,                0.98646,                0.86487,                    nan,                    nan,                    nan,             0.00072631,             0.00072631,             0.00072631
                     60,                0.63899,                0.42351,                0.91326,                0.99798,                0.95892,                0.98848,                0.86221,                    nan,                    nan,                    nan,             0.00070981,             0.00070981,             0.00070981
                     61,                0.62301,                0.41524,                 0.9047,                0.99736,                0.96744,                0.98824,                0.86296,                    nan,                    nan,                    nan,             0.00069331,             0.00069331,             0.00069331
                     62,                0.62136,                0.40643,                0.90394,                0.99576,                0.96649,                0.98632,                0.85852,                    nan,                    nan,                    nan,              0.0006768,              0.0006768,              0.0006768
                     63,                0.64424,                 0.4178,                0.91861,                0.99367,                0.96458,                0.98759,                 0.8595,                    nan,                    nan,                    nan,              0.0006603,              0.0006603,              0.0006603
                     64,                0.62077,                0.42083,                0.91524,                0.99345,                0.96353,                 0.9904,                0.86172,                    nan,                    nan,                    nan,              0.0006438,              0.0006438,              0.0006438
                     65,                0.61093,                0.39191,                0.91373,                0.99258,                0.96428,                0.99136,                0.85851,                    nan,                    nan,                    nan,             0.00062729,             0.00062729,             0.00062729
                     66,                0.60238,                0.40323,                0.89967,                0.99511,                0.96815,                 0.9889,                0.86434,                    nan,                    nan,                    nan,             0.00061079,             0.00061079,             0.00061079
                     67,                0.60318,                0.39075,                0.90231,                0.99342,                0.96669,                0.98607,                0.87274,                    nan,                    nan,                    nan,             0.00059429,             0.00059429,             0.00059429
                     68,                0.62538,                0.40865,                0.90782,                0.99359,                0.96768,                0.98544,                0.86499,                    nan,                    nan,                    nan,             0.00057778,             0.00057778,             0.00057778
                     69,                0.62078,                0.40046,                0.91567,                0.99989,                0.96858,                0.98916,                0.87011,                    nan,                    nan,                    nan,             0.00056128,             0.00056128,             0.00056128
                     70,                0.61691,                0.39479,                0.91304,                0.99605,                0.96773,                0.99112,                0.87023,                    nan,                    nan,                    nan,             0.00054478,             0.00054478,             0.00054478
                     71,                 0.5896,                0.39387,                0.91076,                0.99784,                0.96713,                0.98989,                  0.874,                    nan,                    nan,                    nan,             0.00052827,             0.00052827,             0.00052827
                     72,                0.60505,                0.38088,                0.89824,                0.99669,                0.96436,                0.98994,                0.87648,                    nan,                    nan,                    nan,             0.00051177,             0.00051177,             0.00051177
                     73,                0.60619,                0.38123,                0.91559,                0.99401,                0.96509,                0.98725,                 0.8804,                    nan,                    nan,                    nan,             0.00049527,             0.00049527,             0.00049527
                     74,                 0.5965,                0.38574,                0.90009,                0.99523,                0.96509,                0.98417,                0.87412,                    nan,                    nan,                    nan,             0.00047876,             0.00047876,             0.00047876
                     75,                0.59158,                 0.3732,                0.89772,                0.99653,                0.96696,                0.98488,                0.87322,                    nan,                    nan,                    nan,             0.00046226,             0.00046226,             0.00046226
                     76,                0.58658,                0.37783,                0.90023,                0.99585,                0.97111,                0.98347,                0.88076,                    nan,                    nan,                    nan,             0.00044576,             0.00044576,             0.00044576
                     77,                0.60542,                0.38083,                  0.904,                0.99852,                0.96546,                0.97979,                0.87266,                    nan,                    nan,                    nan,             0.00042925,             0.00042925,             0.00042925
                     78,                 0.5773,                0.38305,                0.89069,                0.99853,                0.97035,                0.98011,                0.87847,                    nan,                    nan,                    nan,             0.00041275,             0.00041275,             0.00041275
                     79,                0.57052,                0.37587,                0.89293,                 0.9984,                0.97375,                0.98165,                0.88139,                    nan,                    nan,                    nan,             0.00039625,             0.00039625,             0.00039625
                     80,                 0.6041,                 0.3794,                0.92017,                0.99787,                0.97207,                0.98046,                 0.8826,                    nan,                    nan,                    nan,             0.00037974,             0.00037974,             0.00037974
                     81,                0.57986,                0.36691,                0.89742,                 0.9981,                0.96921,                0.97833,                 0.8824,                    nan,                    nan,                    nan,             0.00036324,             0.00036324,             0.00036324
                     82,                0.57462,                0.36688,                0.89381,                0.99677,                 0.9661,                0.97862,                0.88532,                    nan,                    nan,                    nan,             0.00034674,             0.00034674,             0.00034674
                     83,                0.58265,                0.37138,                0.89919,                 0.9938,                 0.9698,                0.97922,                0.88415,                    nan,                    nan,                    nan,             0.00033023,             0.00033023,             0.00033023
                     84,                0.57469,                0.36794,                0.89378,                0.99487,                0.96901,                0.98315,                0.88131,                    nan,                    nan,                    nan,             0.00031373,             0.00031373,             0.00031373
                     85,                0.55413,                0.34718,                0.88343,                0.99604,                 0.9688,                0.98301,                0.88727,                    nan,                    nan,                    nan,             0.00029723,             0.00029723,             0.00029723
                     86,                0.58583,                0.35801,                 0.8971,                0.99288,                 0.9697,                0.98223,                0.88345,                    nan,                    nan,                    nan,             0.00028072,             0.00028072,             0.00028072
                     87,                0.55758,                  0.348,                0.89132,                 0.9956,                0.96809,                0.98023,                0.88183,                    nan,                    nan,                    nan,             0.00026422,             0.00026422,             0.00026422
                     88,                0.55604,                0.34141,                0.89123,                0.99852,                0.96701,                0.98292,                0.88882,                    nan,                    nan,                    nan,             0.00024772,             0.00024772,             0.00024772
                     89,                 0.5508,                0.33545,                0.88871,                0.99815,                0.96629,                0.98444,                0.88824,                    nan,                    nan,                    nan,             0.00023121,             0.00023121,             0.00023121
                     90,                0.54066,                0.34941,                0.87515,                0.99841,                0.96608,                0.98443,                0.89501,                    nan,                    nan,                    nan,             0.00021471,             0.00021471,             0.00021471
                     91,                0.51436,                  0.334,                  0.857,                0.99703,                0.96587,                0.98366,                0.89602,                    nan,                    nan,                    nan,             0.00019821,             0.00019821,             0.00019821
                     92,                 0.4959,                0.32703,                0.85495,                0.99852,                0.96476,                0.98534,                0.89379,                    nan,                    nan,                    nan,              0.0001817,              0.0001817,              0.0001817
                     93,                0.50146,                0.31531,                0.84659,                0.99559,                0.97127,                 0.9872,                0.89695,                    nan,                    nan,                    nan,              0.0001652,              0.0001652,              0.0001652
                     94,                0.49346,                0.31285,                0.85177,                0.99852,                 0.9713,                0.98766,                0.90295,                    nan,                    nan,                    nan,              0.0001487,              0.0001487,              0.0001487
                     95,                 0.4802,                0.30643,                0.84249,                      1,                0.97017,                0.98736,                0.89599,                    nan,                    nan,                    nan,             0.00013219,             0.00013219,             0.00013219
                     96,                0.49256,                 0.3093,                0.84637,                0.99549,                0.97301,                0.98737,                0.89852,                    nan,                    nan,                    nan,             0.00011569,             0.00011569,             0.00011569
                     97,                0.48384,                0.30752,                0.84111,                0.99618,                0.97204,                0.98693,                 0.8998,                    nan,                    nan,                    nan,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.49229,                0.30572,                0.85042,                0.99673,                 0.9717,                0.98673,                0.90082,                    nan,                    nan,                    nan,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.47654,                 0.2997,                0.83591,                      1,                0.96733,                0.98625,                 0.8992,                    nan,                    nan,                    nan,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.47044,                 0.2991,                0.83503,                      1,                0.96772,                0.98573,                0.90356,                    nan,                    nan,                    nan,             4.9677e-05,             4.9677e-05,             4.9677e-05
